image,type,subtype,concatenated_type,set
100051300.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,val
100156800.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100138200.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100188200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100118300.png,Rost,Strassenrost,Rost / Strassenrost,val
100153800.png,Gussbeton,Handgriff mitte,Gussbeton / Handgriff mitte,train
100008300.png,Rost,Strassenrost,Rost / Strassenrost,train
100205400.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100121400.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100174400.png,Andere,-,Andere / -,train
100046200.png,Rost,Strassenrost,Rost / Strassenrost,train
100054700.png,Rost,Strassenrost,Rost / Strassenrost,train
100011300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100008600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100124900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100163700.png,Rost,Strassenrost,Rost / Strassenrost,train
100158300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100051900.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100028700.png,Rost,Strassenrost,Rost / Strassenrost,train
100192100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100138100.png,Rost,Strassenrost,Rost / Strassenrost,train
100119200.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,test
100088300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100137000.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100153900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100118900.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100191800.png,Rost,Strassenrost,Rost / Strassenrost,train
100162400.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100032600.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100086100.png,Rost,Einlauf rund,Rost / Einlauf rund,val
100145400.png,Rost,Strassenrost,Rost / Strassenrost,train
100004900.png,Andere,-,Andere / -,train
100191900.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100064400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100103800.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,test
100007700.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100097500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100199400.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100197200.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100107500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100195500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100026800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100216600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100124600.png,Andere,-,Andere / -,train
100053900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100083500.png,Rost,Strassenrost,Rost / Strassenrost,train
100169400.png,Rost,Strassenrost,Rost / Strassenrost,train
100183800.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100182500.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",val
100207300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100002800.png,Rost,Strassenrost,Rost / Strassenrost,train
100155200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100192900.png,Rost,Strassenrost,Rost / Strassenrost,train
100163300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100049300.png,Rost,Einlauf rund,Rost / Einlauf rund,val
100109700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100165900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100011100.png,Andere,-,Andere / -,train
100188800.png,Rost,Strassenrost,Rost / Strassenrost,test
100169100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100164900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100070100.png,Rost,Strassenrost,Rost / Strassenrost,train
100059900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100186300.png,Rost,Strassenrost,Rost / Strassenrost,val
100124100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100068700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100094800.png,Rost,Einlauf rund,Rost / Einlauf rund,val
100208500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100129000.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100014600.png,Rost,Strassenrost,Rost / Strassenrost,train
100011700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100160200.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,test
100053000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100144000.png,Vollguss,Aufklappbar,Vollguss / Aufklappbar,train
100215000.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100095300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100189900.png,Rost,Strassenrost,Rost / Strassenrost,test
100206300.png,Rost,Strassenrost,Rost / Strassenrost,train
100217900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100087000.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100041600.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100069800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100069000.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100117600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100040900.png,Rost,Einlauf rund,Rost / Einlauf rund,val
100114700.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100054500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100039700.png,Rost,Strassenrost,Rost / Strassenrost,val
100167600.png,Rost,Strassenrost,Rost / Strassenrost,train
100066300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100137900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100210100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100151900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100000300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100030600.png,Rost,Strassenrost,Rost / Strassenrost,train
100189200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100114000.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100182900.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100152300.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100201700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100104500.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100175200.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100149800.png,Andere,-,Andere / -,val
100149000.png,Rost,Strassenrost,Rost / Strassenrost,train
100014200.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100001900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100009700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100157400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100212500.png,Rost,Strassenrost,Rost / Strassenrost,train
100055300.png,Andere,-,Andere / -,train
100103600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100203300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100075800.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100067600.png,Rost,Strassenrost,Rost / Strassenrost,train
100018500.png,Rost,Strassenrost,Rost / Strassenrost,train
100128000.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,test
100106700.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100148400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100164300.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,test
100100400.png,Rost,Strassenrost,Rost / Strassenrost,train
100187800.png,Rost,Strassenrost,Rost / Strassenrost,train
100152800.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100093100.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100054200.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100045200.png,Rost,Strassenrost gewoelbt,Rost / Strassenrost gewoelbt,train
100197600.png,Rost,Strassenrost,Rost / Strassenrost,train
100125000.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100043800.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100173000.png,Andere,-,Andere / -,train
100163400.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,val
100036200.png,Rost,Strassenrost,Rost / Strassenrost,train
100111900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100196400.png,Rost,Strassenrost,Rost / Strassenrost,train
100151500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100031400.png,Rost,Einlauf rund,Rost / Einlauf rund,test
100093400.png,Rost,Strassenrost,Rost / Strassenrost,train
100205800.png,Rost,Strassenrost,Rost / Strassenrost,train
100053000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100138000.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100153400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100167900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100174800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100139700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100027900.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100047800.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,test
100147800.png,Rost,Strassenrost,Rost / Strassenrost,train
100079300.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100073600.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100065600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100190500.png,Rost,Strassenrost,Rost / Strassenrost,train
100050100.png,Andere,-,Andere / -,train
100175400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100081000.png,Rost,Strassenrost,Rost / Strassenrost,train
100018900.png,Andere,-,Andere / -,train
100213800.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100072600.png,Rost,Strassenrost,Rost / Strassenrost,train
100099700.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100004000.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100009400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,test
100001700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100101800.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100022600.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100108500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100150500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100035900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100110500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100019300.png,Andere,-,Andere / -,train
100128300.png,Rost,Strassenrost gewoelbt,Rost / Strassenrost gewoelbt,test
100091500.png,Rost,Strassenrost,Rost / Strassenrost,train
100151400.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100126600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100135200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100004600.png,Rost,Strassenrost,Rost / Strassenrost,train
100013800.png,Rost,Strassenrost,Rost / Strassenrost,test
100139300.png,Andere,-,Andere / -,train
100009500.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,val
100134900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100050000.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,val
100003600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100072000.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,test
100161200.png,Rost,Strassenrost,Rost / Strassenrost,train
100131700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100022600.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100062100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100122700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100217500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,test
100111000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100139500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100206700.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,test
100068500.png,Gussbeton,Handgriff mitte,Gussbeton / Handgriff mitte,train
100102000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100204300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100036300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100088600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100045300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100189500.png,Rost,Strassenrost,Rost / Strassenrost,train
100136200.png,Rost,Strassenrost,Rost / Strassenrost,train
100061300.png,Rost,Strassenrost,Rost / Strassenrost,train
100122100.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100150600.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,test
100186100.png,Andere,-,Andere / -,train
100133800.png,Rost,Strassenrost,Rost / Strassenrost,train
100052200.png,Rost,Strassenrost,Rost / Strassenrost,train
100091800.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100053800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100051700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100029400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100092600.png,Rost,Strassenrost,Rost / Strassenrost,train
100081600.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100097700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100042600.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100180900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100133700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100103800.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100060200.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100050600.png,Andere,-,Andere / -,val
100184900.png,Rost,Strassenrost,Rost / Strassenrost,train
100070800.png,Rost,Strassenrost,Rost / Strassenrost,test
100184500.png,Rost,Strassenrost,Rost / Strassenrost,test
100180700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100060400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100151600.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100182700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100003000.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100080400.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100147600.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",test
100150700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100178600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100102300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100124700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100077700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100072300.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100011000.png,Rost,Strassenrost,Rost / Strassenrost,train
100154900.png,Rost,Strassenrost,Rost / Strassenrost,train
100148000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100033500.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100147100.png,Rost,Strassenrost,Rost / Strassenrost,train
100052300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100148800.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100160100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100173800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100209800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100050800.png,Andere,-,Andere / -,train
100212600.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100152000.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,test
100171100.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100027000.png,Gussbeton,Handgriff mitte,Gussbeton / Handgriff mitte,train
100036700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100069300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100146200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100039400.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,test
100197500.png,Rost,Strassenrost,Rost / Strassenrost,test
100148700.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100034100.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100034700.png,Rost,Strassenrost,Rost / Strassenrost,train
100189300.png,Rost,Strassenrost,Rost / Strassenrost,train
100052900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100111800.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100191500.png,Rost,Strassenrost,Rost / Strassenrost,train
100124300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100184000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100059800.png,Rost,Strassenrost,Rost / Strassenrost,train
100040100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100116300.png,Rost,Strassenrost,Rost / Strassenrost,train
100115400.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,test
100189100.png,Rost,Strassenrost,Rost / Strassenrost,train
100196600.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100168500.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100104000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100078300.png,Rost,Strassenrost,Rost / Strassenrost,train
100155100.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100100500.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100086200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100008700.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100074100.png,Rost,Strassenrost,Rost / Strassenrost,test
100193800.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100053300.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100115300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100069900.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100071600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100030000.png,Rost,Strassenrost,Rost / Strassenrost,train
100097400.png,Rost,Strassenrost,Rost / Strassenrost,train
100052800.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100059200.png,Rost,Strassenrost,Rost / Strassenrost,train
100173200.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100034900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100156100.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100011600.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100126900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100214800.png,Andere,-,Andere / -,train
100202800.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100031300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,val
100154200.png,Rost,Strassenrost,Rost / Strassenrost,train
100019100.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100087200.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100105600.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100184200.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,val
100107800.png,Andere,-,Andere / -,train
100093200.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100178400.png,Rost,Strassenrost,Rost / Strassenrost,train
100172200.png,Andere,-,Andere / -,train
100151000.png,Rost,Strassenrost,Rost / Strassenrost,train
100172600.png,Andere,-,Andere / -,train
100043100.png,Rost,Strassenrost,Rost / Strassenrost,train
100182600.png,Rost,Strassenrost,Rost / Strassenrost,train
100090700.png,Rost,Strassenrost,Rost / Strassenrost,train
100114400.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,val
100186800.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100177500.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100167500.png,Rost,Strassenrost,Rost / Strassenrost,train
100162100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100047700.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100023900.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100120800.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100172500.png,Rost,Strassenrost,Rost / Strassenrost,train
100108600.png,Gussbeton,Pickelloch belueftet,Gussbeton / Pickelloch belueftet,train
100195700.png,Andere,-,Andere / -,val
100067900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100057600.png,Rost,Strassenrost,Rost / Strassenrost,train
100062300.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100115100.png,Rost,Strassenrost gewoelbt,Rost / Strassenrost gewoelbt,train
100198100.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,test
100137400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100008900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100003800.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100035200.png,Rost,Strassenrost,Rost / Strassenrost,train
100211700.png,Andere,-,Andere / -,train
100186900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100026300.png,Andere,-,Andere / -,train
100163200.png,Rost,Einlauf rund,Rost / Einlauf rund,train
100023600.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100101500.png,Rost,Strassenrost,Rost / Strassenrost,train
100135400.png,Rost,Strassenrost,Rost / Strassenrost,train
100133600.png,Rost,Strassenrost,Rost / Strassenrost,train
100199500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100129400.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100175300.png,Rost,Strassenrost,Rost / Strassenrost,train
100112000.png,Gussbeton,Handgriff seitlich,Gussbeton / Handgriff seitlich,train
100068000.png,Vollguss,Pickelloch belueftet,Vollguss / Pickelloch belueftet,train
100215500.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",val
100113900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100029600.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100180600.png,Rost,Strassenrost,Rost / Strassenrost,train
100216400.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100046500.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100177600.png,Andere,-,Andere / -,train
100147300.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100166700.png,Rost,Strassenrost,Rost / Strassenrost,train
100152600.png,Rost,Strassenrost,Rost / Strassenrost,train
100212700.png,Rost,Strassenrost,Rost / Strassenrost,train
100017800.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,train
100168800.png,Rost,Strassenrost,Rost / Strassenrost,val
100123900.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100146900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100025100.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100090000.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100128900.png,Vollguss,Handgriff geschlossen,Vollguss / Handgriff geschlossen,train
100120200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100076300.png,Rost,Strassenrost,Rost / Strassenrost,train
100179800.png,Vollguss,"Handgriff geschlossen, verschraubt","Vollguss / Handgriff geschlossen, verschraubt",train
100104200.png,Vollguss,Pickelloch geschlossen,Vollguss / Pickelloch geschlossen,train
100104100.png,Rost,Strassenrost,Rost / Strassenrost,train
100206400.png,Gussbeton,Pickelloch geschlossen,Gussbeton / Pickelloch geschlossen,test
