image,set,label
100189500_double_flip.png,train,Rost/Strassenrost
100058700_double_flip.png,train,Vollguss/Handgriff geschlossen
100025700_double_flip.png,train,Rost/Strassenrost gewoelbt
100003400_double_flip.png,train,Gussbeton/Handgriff seitlich
100065000_double_flip.png,train,Rost/Strassenrost
100040600_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100142100_double_flip.png,train,Rost/Strassenrost
100095600_double_flip.png,train,Rost/Strassenrost
100178300_double_flip.png,train,Vollguss/Pickelloch geschlossen
100116300_double_flip.png,train,Rost/Strassenrost
100115900_double_flip.png,train,Vollguss/Handgriff geschlossen
100157800_double_flip.png,train,Rost/Strassenrost
100172800_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100136400_double_flip.png,train,Rost/Strassenrost
100067900_double_flip.png,train,Vollguss/Handgriff geschlossen
100100200_double_flip.png,train,Gussbeton/Handgriff seitlich
100068900_double_flip.png,train,Vollguss/Pickelloch geschlossen
100178800_double_flip.png,train,Gussbeton/Handgriff seitlich
100208000_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100072400_double_flip.png,train,Vollguss/Handgriff geschlossen
100091700_double_flip.png,train,Gussbeton/Handgriff mitte
100073900_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100056100_double_flip.png,train,Rost/Strassenrost
100082600_double_flip.png,train,Vollguss/Pickelloch geschlossen
100035900_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100139600_double_flip.png,train,Vollguss/Pickelloch geschlossen
100073200_double_flip.png,train,Vollguss/Pickelloch geschlossen
100082500_double_flip.png,train,Gussbeton/Handgriff seitlich
100088600_double_flip.png,train,Vollguss/Handgriff geschlossen
100167700_double_flip.png,train,Gussbeton/Pickelloch belueftet
100062300_double_flip.png,train,Vollguss/Handgriff geschlossen
100080600_double_flip.png,train,Vollguss/Pickelloch geschlossen
100213600_double_flip.png,train,Vollguss/Pickelloch geschlossen
100083100_double_flip.png,train,Rost/Strassenrost
100142600_double_flip.png,train,Vollguss/Pickelloch geschlossen
100050700_double_flip.png,train,Vollguss/Handgriff geschlossen
100129700_double_flip.png,train,Vollguss/Aufklappbar
100152500_double_flip.png,train,Gussbeton/Handgriff seitlich
100111000_double_flip.png,train,Vollguss/Pickelloch geschlossen
100175100_double_flip.png,train,Rost/Strassenrost
100178500_double_flip.png,train,Rost/Strassenrost
100167600_double_flip.png,train,Rost/Strassenrost
100033100_double_flip.png,train,Vollguss/Handgriff geschlossen
100005000_double_flip.png,train,Vollguss/Pickelloch geschlossen
100105200_double_flip.png,train,Vollguss/Pickelloch geschlossen
100109200_double_flip.png,train,Vollguss/Handgriff geschlossen
100060500_double_flip.png,train,Gussbeton/Pickelloch belueftet
100040500_double_flip.png,train,Rost/Strassenrost
100207100_double_flip.png,train,Rost/Strassenrost
100109600_double_flip.png,train,Vollguss/Pickelloch geschlossen
100131200_double_flip.png,train,Vollguss/Handgriff geschlossen
100137300_double_flip.png,train,Vollguss/Pickelloch geschlossen
100130100_double_flip.png,train,Rost/Strassenrost
100037600_double_flip.png,train,Vollguss/Pickelloch geschlossen
100217400_double_flip.png,train,Vollguss/Handgriff geschlossen
100073400_double_flip.png,train,Rost/Strassenrost
100076400_double_flip.png,train,Gussbeton/Pickelloch belueftet
100154100_double_flip.png,train,Vollguss/Handgriff geschlossen
100164500_double_flip.png,train,Rost/Strassenrost
100045400_double_flip.png,train,Rost/Strassenrost
100133500_double_flip.png,train,Gussbeton/Handgriff mitte
100206900_double_flip.png,train,Vollguss/Handgriff geschlossen
100204300_double_flip.png,train,Vollguss/Pickelloch geschlossen
100143200_double_flip.png,train,Vollguss/Handgriff geschlossen
100016900_double_flip.png,train,Vollguss/Pickelloch belueftet
100036200_double_flip.png,train,Rost/Strassenrost
100181200_double_flip.png,train,Vollguss/Handgriff geschlossen
100063900_double_flip.png,train,Gussbeton/Pickelloch belueftet
100084300_double_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100015100_double_flip.png,train,Rost/Einlauf rund
100026700_double_flip.png,train,Vollguss/Pickelloch belueftet
100059500_double_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100133800_double_flip.png,train,Rost/Strassenrost
100194400_double_flip.png,train,Rost/Strassenrost
100212000_double_flip.png,train,Rost/Strassenrost
100043500_double_flip.png,train,Rost/Strassenrost
100043000_double_flip.png,train,Gussbeton/Pickelloch belueftet
100100800_double_flip.png,train,Andere/-
100120200_double_flip.png,train,Vollguss/Pickelloch geschlossen
100214800_double_flip.png,train,Andere/-
100181400_double_flip.png,train,Vollguss/Pickelloch geschlossen
100161300_double_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100161500_double_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100174600_double_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100114800_double_flip.png,train,Rost/Strassenrost
100064900_double_flip.png,train,Rost/Strassenrost
100157700_double_flip.png,train,Rost/Strassenrost
100136700_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100178900_double_flip.png,train,Vollguss/Handgriff geschlossen
100044800_double_flip.png,train,Rost/Strassenrost
100200200_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100012000_double_flip.png,train,Vollguss/Pickelloch geschlossen
100028300_double_flip.png,train,Vollguss/Handgriff geschlossen
100141600_double_flip.png,train,Vollguss/Handgriff geschlossen
100022800_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100212600_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100162400_double_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100126100_double_flip.png,train,Vollguss/Pickelloch geschlossen
100118900_double_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100205900_double_flip.png,train,Vollguss/Pickelloch geschlossen
100115100_double_flip.png,train,Rost/Strassenrost gewoelbt
100175600_double_flip.png,train,Vollguss/Pickelloch belueftet
100027800_double_flip.png,train,Rost/Strassenrost
100066600_double_flip.png,train,Vollguss/Pickelloch geschlossen
100092900_double_flip.png,train,Rost/Strassenrost
100096400_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100084000_double_flip.png,train,Vollguss/Pickelloch geschlossen
100032600_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100146400_double_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100198000_double_flip.png,train,Rost/Strassenrost
100127800_double_flip.png,train,Vollguss/Handgriff geschlossen
100111600_double_flip.png,train,Rost/Strassenrost
100210000_double_flip.png,train,Vollguss/Handgriff geschlossen
100199900_double_flip.png,train,Vollguss/Handgriff geschlossen
100005400_double_flip.png,train,Andere/-
100137400_double_flip.png,train,Vollguss/Handgriff geschlossen
100122500_double_flip.png,train,Vollguss/Handgriff geschlossen
100176300_double_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100135200_double_flip.png,train,Vollguss/Pickelloch geschlossen
100204200_double_flip.png,train,Vollguss/Handgriff geschlossen
100081600_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100177600_double_flip.png,train,Andere/-
100184100_double_flip.png,train,Gussbeton/Pickelloch belueftet
100184700_double_flip.png,train,Vollguss/Handgriff geschlossen
100193700_double_flip.png,train,Rost/Strassenrost
100033500_double_flip.png,train,Vollguss/Pickelloch geschlossen
100105600_double_flip.png,train,Gussbeton/Handgriff seitlich
100141100_double_flip.png,train,Rost/Einlauf rund
100001700_double_flip.png,train,Vollguss/Handgriff geschlossen
100145900_double_flip.png,train,Rost/Strassenrost
100002800_double_flip.png,train,Rost/Strassenrost
100116400_double_flip.png,train,Vollguss/Handgriff geschlossen
100167200_double_flip.png,train,Gussbeton/Pickelloch belueftet
100199700_double_flip.png,train,Rost/Strassenrost
100072200_double_flip.png,train,Rost/Strassenrost
100010400_double_flip.png,train,Rost/Strassenrost
100193300_double_flip.png,train,Vollguss/Handgriff geschlossen
100132700_double_flip.png,train,Vollguss/Pickelloch geschlossen
100156800_double_flip.png,train,Vollguss/Pickelloch belueftet
100017800_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100003300_double_flip.png,train,Vollguss/Handgriff geschlossen
100124400_double_flip.png,train,Rost/Strassenrost
100159800_double_flip.png,train,Vollguss/Pickelloch geschlossen
100190400_double_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100082200_double_flip.png,train,Rost/Strassenrost
100129200_double_flip.png,train,Vollguss/Handgriff geschlossen
100168300_double_flip.png,train,Rost/Strassenrost
100202300_double_flip.png,train,Vollguss/Pickelloch geschlossen
100059400_double_flip.png,train,Vollguss/Pickelloch geschlossen
100115500_double_flip.png,train,Rost/Strassenrost
100038300_double_flip.png,train,Andere/-
100108500_double_flip.png,train,Vollguss/Handgriff geschlossen
100132600_double_flip.png,train,Vollguss/Handgriff geschlossen
100071900_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100099400_double_flip.png,train,Gussbeton/Handgriff seitlich
100070600_double_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100182900_double_flip.png,train,Gussbeton/Pickelloch belueftet
100081000_double_flip.png,train,Rost/Strassenrost
100029600_double_flip.png,train,Vollguss/Pickelloch geschlossen
100123600_double_flip.png,train,Rost/Strassenrost
100031900_double_flip.png,train,Vollguss/Pickelloch geschlossen
100185100_double_flip.png,train,Rost/Strassenrost
100209900_double_flip.png,train,Rost/Strassenrost
100002000_double_flip.png,train,Rost/Strassenrost
100125400_double_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100214900_double_flip.png,train,Gussbeton/Pickelloch belueftet
100163300_double_flip.png,train,Vollguss/Pickelloch geschlossen
100018500_double_flip.png,train,Rost/Strassenrost
100135400_double_flip.png,train,Rost/Strassenrost
100055200_double_flip.png,train,Rost/Strassenrost
100199800_double_flip.png,train,Rost/Strassenrost
100062100_double_flip.png,train,Vollguss/Handgriff geschlossen
100215300_double_flip.png,train,Vollguss/Pickelloch geschlossen
100143600_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100047700_double_flip.png,train,Vollguss/Handgriff geschlossen
100124700_double_flip.png,train,Vollguss/Handgriff geschlossen
100155700_double_flip.png,train,Gussbeton/Pickelloch belueftet
100206500_double_flip.png,train,Rost/Einlauf rund
100211100_double_flip.png,train,Vollguss/Handgriff geschlossen
100068500_double_flip.png,train,Gussbeton/Handgriff mitte
100150000_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100043300_double_flip.png,train,Vollguss/Pickelloch geschlossen
100037200_double_flip.png,train,Vollguss/Pickelloch geschlossen
100183600_double_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100037000_double_flip.png,train,Rost/Einlauf rund
100174300_double_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100127100_double_flip.png,train,Rost/Strassenrost
100148200_double_flip.png,train,Vollguss/Pickelloch belueftet
100194200_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100051500_double_flip.png,train,Vollguss/Handgriff geschlossen
100132300_double_flip.png,train,Gussbeton/Pickelloch belueftet
100194300_double_flip.png,train,Rost/Strassenrost
100132400_double_flip.png,train,Vollguss/Pickelloch geschlossen
100100600_double_flip.png,train,Rost/Strassenrost
100065600_double_flip.png,train,Vollguss/Handgriff geschlossen
100072900_double_flip.png,train,Rost/Strassenrost
100037100_double_flip.png,train,Gussbeton/Pickelloch belueftet
100041800_double_flip.png,train,Andere/-
100044000_double_flip.png,train,Vollguss/Pickelloch geschlossen
100038000_double_flip.png,train,Vollguss/Pickelloch geschlossen
100030200_double_flip.png,train,Rost/Strassenrost
100212500_double_flip.png,train,Rost/Strassenrost
100011900_double_flip.png,train,Vollguss/Pickelloch belueftet
100171200_double_flip.png,train,Vollguss/Pickelloch geschlossen
100206200_double_flip.png,train,Andere/-
100077300_double_flip.png,train,Vollguss/Handgriff geschlossen
100018800_double_flip.png,train,Vollguss/Pickelloch geschlossen
100032000_double_flip.png,train,Vollguss/Handgriff geschlossen
100122600_double_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100197400_double_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100057300_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100165900_double_flip.png,train,Vollguss/Handgriff geschlossen
100056700_double_flip.png,train,Rost/Einlauf rund
100022200_double_flip.png,train,Andere/-
100046200_double_flip.png,train,Rost/Strassenrost
100080500_double_flip.png,train,Rost/Strassenrost
100040200_double_flip.png,train,Andere/-
100050000_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100142300_double_flip.png,train,Vollguss/Handgriff geschlossen
100030600_double_flip.png,train,Rost/Strassenrost
100018900_double_flip.png,train,Andere/-
100085600_double_flip.png,train,Gussbeton/Handgriff seitlich
100171800_double_flip.png,train,Rost/Strassenrost
100115800_double_flip.png,train,Vollguss/Pickelloch geschlossen
100202100_double_flip.png,train,Rost/Einlauf rund
100062500_double_flip.png,train,Rost/Einlauf rund
100073600_double_flip.png,train,Gussbeton/Handgriff seitlich
100001600_double_flip.png,train,Rost/Strassenrost
100027300_double_flip.png,train,Vollguss/Handgriff geschlossen
100091500_double_flip.png,train,Rost/Strassenrost
100159600_double_flip.png,train,Andere/-
100165600_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100212800_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100046100_double_flip.png,train,Vollguss/Handgriff geschlossen
100083800_double_flip.png,train,Rost/Strassenrost
100171100_double_flip.png,train,Vollguss/Pickelloch belueftet
100166600_double_flip.png,train,Vollguss/Handgriff geschlossen
100083400_double_flip.png,train,Vollguss/Handgriff geschlossen
100012100_double_flip.png,train,Rost/Strassenrost
100192000_double_flip.png,train,Vollguss/Pickelloch geschlossen
100194900_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100096100_double_flip.png,train,Vollguss/Handgriff geschlossen
100023100_double_flip.png,train,Vollguss/Handgriff geschlossen
100103600_double_flip.png,train,Vollguss/Pickelloch geschlossen
100049900_double_flip.png,train,Vollguss/Handgriff geschlossen
100165200_double_flip.png,train,Rost/Strassenrost
100124000_double_flip.png,train,Gussbeton/Pickelloch belueftet
100036500_double_flip.png,train,Vollguss/Pickelloch geschlossen
100187200_double_flip.png,train,Vollguss/Pickelloch belueftet
100199600_double_flip.png,train,Gussbeton/Handgriff mitte
100077900_double_flip.png,train,Vollguss/Handgriff geschlossen
100185500_double_flip.png,train,Rost/Strassenrost
100132500_double_flip.png,train,Gussbeton/Pickelloch belueftet
100156200_double_flip.png,train,Rost/Strassenrost
100056400_double_flip.png,train,Vollguss/Handgriff geschlossen
100075300_double_flip.png,train,Vollguss/Handgriff geschlossen
100002200_double_flip.png,train,Rost/Strassenrost
100124600_double_flip.png,train,Andere/-
100047100_double_flip.png,train,Vollguss/Handgriff geschlossen
100160700_double_flip.png,train,Rost/Strassenrost
100129300_double_flip.png,train,Vollguss/Pickelloch geschlossen
100014100_double_flip.png,train,Rost/Strassenrost
100150200_double_flip.png,train,Rost/Strassenrost
100105300_double_flip.png,train,Vollguss/Handgriff geschlossen
100187600_double_flip.png,train,Rost/Strassenrost
100209800_double_flip.png,train,Vollguss/Pickelloch geschlossen
100191400_double_flip.png,train,Vollguss/Pickelloch geschlossen
100028200_double_flip.png,train,Vollguss/Handgriff geschlossen
100215000_double_flip.png,train,Rost/Einlauf rund
100213200_double_flip.png,train,Rost/Strassenrost
100163600_double_flip.png,train,Rost/Strassenrost
100161400_double_flip.png,train,Andere/-
100170600_double_flip.png,train,Vollguss/Pickelloch geschlossen
100173200_double_flip.png,train,Gussbeton/Pickelloch belueftet
100020400_double_flip.png,train,Gussbeton/Pickelloch belueftet
100052700_double_flip.png,train,Gussbeton/Pickelloch belueftet
100050900_double_flip.png,train,Vollguss/Handgriff geschlossen
100077600_double_flip.png,train,Andere/-
100122400_double_flip.png,train,Vollguss/Pickelloch belueftet
100134800_double_flip.png,train,Rost/Strassenrost
100170800_double_flip.png,train,Rost/Strassenrost
100097900_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100045200_double_flip.png,train,Rost/Strassenrost gewoelbt
100209000_double_flip.png,train,Rost/Strassenrost
100038400_double_flip.png,train,Andere/-
100161800_double_flip.png,train,Vollguss/Pickelloch geschlossen
100045500_double_flip.png,train,Rost/Strassenrost gewoelbt
100167400_double_flip.png,train,Vollguss/Pickelloch geschlossen
100122200_double_flip.png,train,Vollguss/Handgriff geschlossen
100195300_double_flip.png,train,Rost/Strassenrost
100143800_double_flip.png,train,Rost/Strassenrost
100057900_double_flip.png,train,Rost/Strassenrost
100140700_double_flip.png,train,Vollguss/Handgriff geschlossen
100104500_double_flip.png,train,Gussbeton/Handgriff seitlich
100011700_double_flip.png,train,Vollguss/Pickelloch geschlossen
100202400_double_flip.png,train,Vollguss/Handgriff geschlossen
100020100_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100061200_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100154600_double_flip.png,train,Gussbeton/Handgriff mitte
100064800_double_flip.png,train,Vollguss/Handgriff geschlossen
100067500_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100107900_double_flip.png,train,Rost/Strassenrost
100124900_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100035600_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100048200_double_flip.png,train,Rost/Strassenrost
100025800_double_flip.png,train,Rost/Strassenrost
100094800_double_flip.png,train,Rost/Einlauf rund
100109900_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100084600_double_flip.png,train,Rost/Strassenrost
100192100_double_flip.png,train,Vollguss/Handgriff geschlossen
100158600_double_flip.png,train,Vollguss/Pickelloch belueftet
100152400_double_flip.png,train,Vollguss/Pickelloch geschlossen
100057200_double_flip.png,train,Gussbeton/Handgriff mitte
100025900_double_flip.png,train,Vollguss/Pickelloch geschlossen
100134300_double_flip.png,train,Vollguss/Pickelloch geschlossen
100031100_double_flip.png,train,Rost/Strassenrost
100116100_double_flip.png,train,Rost/Strassenrost
100174200_double_flip.png,train,Vollguss/Handgriff geschlossen
100075100_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100006100_double_flip.png,train,Rost/Strassenrost
100082900_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100028500_double_flip.png,train,Rost/Strassenrost
100021000_double_flip.png,train,Vollguss/Handgriff geschlossen
100035200_double_flip.png,train,Rost/Strassenrost
100154500_double_flip.png,train,Vollguss/Pickelloch belueftet
100089400_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100017300_double_flip.png,train,Vollguss/Pickelloch geschlossen
100040100_double_flip.png,train,Vollguss/Pickelloch geschlossen
100214500_double_flip.png,train,Vollguss/Pickelloch geschlossen
100155800_double_flip.png,train,Vollguss/Pickelloch geschlossen
100014200_double_flip.png,train,Gussbeton/Handgriff seitlich
100168200_double_flip.png,train,Vollguss/Pickelloch belueftet
100118700_double_flip.png,train,Vollguss/Pickelloch geschlossen
100017700_double_flip.png,train,Vollguss/Pickelloch geschlossen
100067200_double_flip.png,train,Rost/Strassenrost
100152900_double_flip.png,train,Rost/Strassenrost
100105000_double_flip.png,train,Vollguss/Handgriff geschlossen
100040400_double_flip.png,train,Vollguss/Pickelloch geschlossen
100068400_double_flip.png,train,Rost/Strassenrost
100070400_double_flip.png,train,Vollguss/Pickelloch geschlossen
100170000_double_flip.png,train,Gussbeton/Handgriff mitte
100143100_double_flip.png,train,Vollguss/Pickelloch geschlossen
100140100_double_flip.png,train,Rost/Strassenrost
100151400_double_flip.png,train,Rost/Einlauf rund
100094400_double_flip.png,train,Vollguss/Handgriff geschlossen
100130300_double_flip.png,train,Rost/Strassenrost
100016800_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100039800_double_flip.png,train,Vollguss/Pickelloch geschlossen
100048100_double_flip.png,train,Rost/Strassenrost
100040700_double_flip.png,train,Vollguss/Handgriff geschlossen
100207000_double_flip.png,train,Vollguss/Handgriff geschlossen
100036300_double_flip.png,train,Vollguss/Pickelloch geschlossen
100011400_double_flip.png,train,Vollguss/Handgriff geschlossen
100070900_double_flip.png,train,Rost/Strassenrost
100004100_double_flip.png,train,Vollguss/Pickelloch geschlossen
100098600_double_flip.png,train,Vollguss/Pickelloch geschlossen
100158800_double_flip.png,train,Gussbeton/Pickelloch belueftet
100163700_double_flip.png,train,Rost/Strassenrost
100017100_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100217200_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100157900_double_flip.png,train,Vollguss/Pickelloch geschlossen
100045600_double_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100054200_double_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100173800_double_flip.png,train,Vollguss/Pickelloch geschlossen
100136000_double_flip.png,train,Vollguss/Pickelloch geschlossen
100050500_double_flip.png,train,Vollguss/Pickelloch geschlossen
100126300_double_flip.png,train,Vollguss/Pickelloch geschlossen
100162000_double_flip.png,train,Rost/Strassenrost
100181500_double_flip.png,train,Gussbeton/Handgriff seitlich
100209500_double_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100170200_double_flip.png,train,Gussbeton/Pickelloch belueftet
100181300_double_flip.png,train,Vollguss/Handgriff geschlossen
100181900_double_flip.png,train,Rost/Strassenrost
100074700_double_flip.png,train,Vollguss/Handgriff geschlossen
100189700_double_flip.png,train,Andere/-
100214000_double_flip.png,train,Rost/Strassenrost
100045900_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100015900_double_flip.png,train,Vollguss/Handgriff geschlossen
100216200_double_flip.png,train,Vollguss/Pickelloch geschlossen
100075600_double_flip.png,train,Vollguss/Pickelloch geschlossen
100039000_double_flip.png,train,Vollguss/Pickelloch geschlossen
100091100_double_flip.png,train,Rost/Strassenrost
100102200_double_flip.png,train,Rost/Strassenrost
100152600_double_flip.png,train,Rost/Strassenrost
100115700_double_flip.png,train,Vollguss/Handgriff geschlossen
100015700_double_flip.png,train,Vollguss/Pickelloch geschlossen
100075000_double_flip.png,train,Vollguss/Handgriff geschlossen
100137600_double_flip.png,train,Vollguss/Handgriff geschlossen
100217000_double_flip.png,train,Vollguss/Pickelloch geschlossen
100034500_double_flip.png,train,Vollguss/Handgriff geschlossen
100091000_double_flip.png,train,Rost/Strassenrost
100134100_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100037500_double_flip.png,train,Vollguss/Pickelloch geschlossen
100045700_double_flip.png,train,Rost/Strassenrost
100215400_double_flip.png,train,Rost/Einlauf rund
100111700_double_flip.png,train,Rost/Strassenrost
100023300_double_flip.png,train,Rost/Strassenrost
100196900_double_flip.png,train,Gussbeton/Pickelloch belueftet
100126700_double_flip.png,train,Vollguss/Handgriff geschlossen
100155300_double_flip.png,train,Vollguss/Pickelloch geschlossen
100114900_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100200100_double_flip.png,train,Rost/Strassenrost
100155000_double_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100092500_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100114700_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100047900_double_flip.png,train,Vollguss/Handgriff geschlossen
100110200_double_flip.png,train,Gussbeton/Pickelloch belueftet
100011100_double_flip.png,train,Andere/-
100203800_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100072500_double_flip.png,train,Rost/Strassenrost
100053800_double_flip.png,train,Vollguss/Pickelloch geschlossen
100144500_double_flip.png,train,Vollguss/Pickelloch geschlossen
100090300_double_flip.png,train,Rost/Strassenrost
100198900_double_flip.png,train,Rost/Strassenrost
100212200_double_flip.png,train,Gussbeton/Pickelloch belueftet
100107400_double_flip.png,train,Rost/Einlauf rund
100116000_double_flip.png,train,Rost/Strassenrost
100090200_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100117600_double_flip.png,train,Vollguss/Handgriff geschlossen
100171500_double_flip.png,train,Vollguss/Pickelloch geschlossen
100132800_double_flip.png,train,Vollguss/Pickelloch geschlossen
100047500_double_flip.png,train,Rost/Strassenrost
100172700_double_flip.png,train,Vollguss/Handgriff geschlossen
100012300_double_flip.png,train,Rost/Strassenrost gewoelbt
100151100_double_flip.png,train,Vollguss/Pickelloch geschlossen
100024700_double_flip.png,train,Rost/Strassenrost
100062400_double_flip.png,train,Vollguss/Pickelloch geschlossen
100091600_double_flip.png,train,Vollguss/Handgriff geschlossen
100049000_double_flip.png,train,Vollguss/Handgriff geschlossen
100079700_double_flip.png,train,Rost/Strassenrost
100133400_double_flip.png,train,Vollguss/Handgriff geschlossen
100046800_double_flip.png,train,Rost/Strassenrost
100179800_double_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100052200_double_flip.png,train,Rost/Strassenrost
100017900_double_flip.png,train,Vollguss/Pickelloch geschlossen
100084500_double_flip.png,train,Rost/Strassenrost
100079900_double_flip.png,train,Vollguss/Pickelloch geschlossen
100081300_double_flip.png,train,Vollguss/Handgriff geschlossen
100130200_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100015400_double_flip.png,train,Vollguss/Handgriff geschlossen
100130000_double_flip.png,train,Gussbeton/Pickelloch belueftet
100187700_double_flip.png,train,Andere/-
100021700_double_flip.png,train,Andere/-
100000800_double_flip.png,train,Vollguss/Pickelloch geschlossen
100152800_double_flip.png,train,Vollguss/Pickelloch belueftet
100179400_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100213100_double_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100144600_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100205700_double_flip.png,train,Vollguss/Handgriff geschlossen
100101600_double_flip.png,train,Vollguss/Pickelloch belueftet
100016600_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100090900_double_flip.png,train,Vollguss/Pickelloch geschlossen
100167900_double_flip.png,train,Vollguss/Pickelloch geschlossen
100042300_double_flip.png,train,Andere/-
100192900_double_flip.png,train,Rost/Strassenrost
100016000_double_flip.png,train,Vollguss/Pickelloch geschlossen
100002400_double_flip.png,train,Andere/-
100085000_double_flip.png,train,Gussbeton/Handgriff seitlich
100025100_double_flip.png,train,Vollguss/Handgriff geschlossen
100035500_double_flip.png,train,Vollguss/Pickelloch geschlossen
100160000_double_flip.png,train,Vollguss/Pickelloch belueftet
100165100_double_flip.png,train,Vollguss/Handgriff geschlossen
100114000_double_flip.png,train,Vollguss/Handgriff geschlossen
100019300_double_flip.png,train,Andere/-
100159200_double_flip.png,train,Rost/Strassenrost
100151900_double_flip.png,train,Vollguss/Handgriff geschlossen
100006400_double_flip.png,train,Rost/Strassenrost
100173000_double_flip.png,train,Andere/-
100207600_double_flip.png,train,Vollguss/Pickelloch geschlossen
100048900_double_flip.png,train,Rost/Strassenrost
100078800_double_flip.png,train,Rost/Strassenrost
100168500_double_flip.png,train,Gussbeton/Pickelloch belueftet
100080200_double_flip.png,train,Gussbeton/Pickelloch geschlossen
100057400_double_flip.png,train,Rost/Strassenrost
100216800_double_flip.png,train,Vollguss/Handgriff geschlossen
100160600_double_flip.png,train,Vollguss/Pickelloch geschlossen
100092600_double_flip.png,train,Rost/Strassenrost
100093600_double_flip.png,train,Vollguss/Pickelloch geschlossen
100022300_double_flip.png,train,Gussbeton/Pickelloch belueftet
100142800_double_flip.png,train,"Vollguss/Handgriff geschlossen, verschraubt"
100053300_double_flip.png,train,Vollguss/Pickelloch belueftet
100033900_double_flip.png,train,Gussbeton/Handgriff seitlich
100043600_double_flip.png,train,Rost/Strassenrost
100008400_double_flip.png,train,Vollguss/Pickelloch belueftet
100127300_double_flip.png,train,Rost/Strassenrost
100181600_double_flip.png,train,Rost/Strassenrost
100143700_double_flip.png,train,Andere/-
100197200_double_flip.png,train,Rost/Einlauf rund
100108200_double_flip.png,train,Rost/Einlauf rund
100065700_double_flip.png,train,Vollguss/Pickelloch geschlossen
