image,transforms,set,label
100096500.png,flipv_jit_rot,train,Gussbeton/Pickelloch belueftet
100096500.png,fliph_flipv_orig,train,Gussbeton/Pickelloch belueftet
100096500.png,blur_rot_rshrp,train,Gussbeton/Pickelloch belueftet
100004000.png,jit_pers_rcont,train,Gussbeton/Pickelloch belueftet
100004000.png,fliph_rinv_rshrp,train,Gussbeton/Pickelloch belueftet
100004000.png,flipv_rcrop_rot,train,Gussbeton/Pickelloch belueftet
100004000.png,jit_rcont_rcrop,train,Gussbeton/Pickelloch belueftet
100004000.png,raff_rcrop_rinv,train,Gussbeton/Pickelloch belueftet
100043900.png,raff_rinv_rshrp,train,Gussbeton/Pickelloch belueftet
100043900.png,blur_raff_rcrop,train,Gussbeton/Pickelloch belueftet
100043900.png,flipv_pers_rot,train,Gussbeton/Pickelloch belueftet
100043900.png,orig_rcrop_rot,train,Gussbeton/Pickelloch belueftet
100043900.png,orig_rcont_rinv,train,Gussbeton/Pickelloch belueftet
100127500.png,blur_orig_rcrop,train,Gussbeton/Pickelloch belueftet
100127500.png,flipv_orig_rshrp,train,Gussbeton/Pickelloch belueftet
100127500.png,blur_rcont_rot,train,Gussbeton/Pickelloch belueftet
100127500.png,pers_rcont_rcrop,train,Gussbeton/Pickelloch belueftet
100127500.png,flipv_orig_pers,train,Gussbeton/Pickelloch belueftet
100006900.png,fliph_pers_rinv,train,Gussbeton/Pickelloch belueftet
100006900.png,raff_rcont_rot,train,Gussbeton/Pickelloch belueftet
100006900.png,pers_rcont_rinv,train,Gussbeton/Pickelloch belueftet
100006900.png,rcont_rot_rshrp,train,Gussbeton/Pickelloch belueftet
100006900.png,jit_pers_raff,train,Gussbeton/Pickelloch belueftet
100007700.png,orig_rcont_rinv,train,Gussbeton/Pickelloch belueftet
100007700.png,blur_pers_rcont,train,Gussbeton/Pickelloch belueftet
100007700.png,jit_raff_rshrp,train,Gussbeton/Pickelloch belueftet
100007700.png,jit_rot_rshrp,train,Gussbeton/Pickelloch belueftet
100007700.png,jit_rcrop_rshrp,train,Gussbeton/Pickelloch belueftet
100072800.png,pers_rot_rshrp,train,Gussbeton/Pickelloch belueftet
100072800.png,orig_rinv_rot,train,Gussbeton/Pickelloch belueftet
100072800.png,raff_rinv_rot,train,Gussbeton/Pickelloch belueftet
100072800.png,flipv_rcont_rinv,train,Gussbeton/Pickelloch belueftet
100072800.png,blur_jit_pers,train,Gussbeton/Pickelloch belueftet
100158800.png,flipv_pers_rinv,train,Gussbeton/Pickelloch belueftet
100158800.png,orig_pers_rot,train,Gussbeton/Pickelloch belueftet
100158800.png,fliph_orig_pers,train,Gussbeton/Pickelloch belueftet
100158800.png,fliph_jit_raff,train,Gussbeton/Pickelloch belueftet
100158800.png,jit_raff_rot,train,Gussbeton/Pickelloch belueftet
100101700.png,flipv_rcont_rinv,train,Gussbeton/Pickelloch belueftet
100101700.png,pers_rcrop_rinv,train,Gussbeton/Pickelloch belueftet
100101700.png,fliph_pers_rcont,train,Gussbeton/Pickelloch belueftet
100101700.png,blur_orig_rcont,train,Gussbeton/Pickelloch belueftet
100101700.png,fliph_flipv_orig,train,Gussbeton/Pickelloch belueftet
100081700.png,jit_pers_rcrop,train,Gussbeton/Pickelloch belueftet
100081700.png,flipv_rot_rshrp,train,Gussbeton/Pickelloch belueftet
100081700.png,blur_orig_rcrop,train,Gussbeton/Pickelloch belueftet
100081700.png,jit_pers_raff,train,Gussbeton/Pickelloch belueftet
100081700.png,flipv_jit_orig,train,Gussbeton/Pickelloch belueftet
100065500.png,orig_raff_rot,train,Gussbeton/Pickelloch belueftet
100065500.png,blur_rcont_rot,train,Gussbeton/Pickelloch belueftet
100065500.png,fliph_jit_rshrp,train,Gussbeton/Pickelloch belueftet
100065500.png,rcont_rcrop_rshrp,train,Gussbeton/Pickelloch belueftet
100065500.png,flipv_rcrop_rinv,train,Gussbeton/Pickelloch belueftet
100143500.png,jit_rcrop_rshrp,train,Gussbeton/Pickelloch belueftet
100143500.png,fliph_rcont_rinv,train,Gussbeton/Pickelloch belueftet
100143500.png,blur_orig_rot,train,Gussbeton/Pickelloch belueftet
100143500.png,blur_rot_rshrp,train,Gussbeton/Pickelloch belueftet
100143500.png,orig_pers_rshrp,train,Gussbeton/Pickelloch belueftet
100191900.png,rcrop_rinv_rshrp,train,Gussbeton/Pickelloch belueftet
100191900.png,blur_fliph_rshrp,train,Gussbeton/Pickelloch belueftet
100191900.png,flipv_orig_rot,train,Gussbeton/Pickelloch belueftet
100191900.png,orig_raff_rot,train,Gussbeton/Pickelloch belueftet
100191900.png,blur_fliph_rinv,train,Gussbeton/Pickelloch belueftet
100204600.png,flipv_orig_raff,train,Gussbeton/Pickelloch belueftet
100204600.png,flipv_pers_rcont,train,Gussbeton/Pickelloch belueftet
100204600.png,blur_fliph_pers,train,Gussbeton/Pickelloch belueftet
100204600.png,flipv_rcont_rot,train,Gussbeton/Pickelloch belueftet
100192300.png,blur_rcrop_rinv,train,Gussbeton/Pickelloch belueftet
100192300.png,jit_rcont_rinv,train,Gussbeton/Pickelloch belueftet
100192300.png,blur_pers_raff,train,Gussbeton/Pickelloch belueftet
100192300.png,orig_pers_rinv,train,Gussbeton/Pickelloch belueftet
100192300.png,blur_pers_rcrop,train,Gussbeton/Pickelloch belueftet
100204700.png,blur_fliph_rot,train,Gussbeton/Pickelloch belueftet
100204700.png,blur_rcont_rshrp,train,Gussbeton/Pickelloch belueftet
100204700.png,fliph_flipv_rcont,train,Gussbeton/Pickelloch belueftet
100204700.png,rcont_rcrop_rshrp,train,Gussbeton/Pickelloch belueftet
100204700.png,flipv_pers_rshrp,train,Gussbeton/Pickelloch belueftet
100075800.png,rcont_rinv_rshrp,train,Gussbeton/Pickelloch belueftet
100075800.png,blur_flipv_rshrp,train,Gussbeton/Pickelloch belueftet
100075800.png,fliph_jit_pers,train,Gussbeton/Pickelloch belueftet
100075800.png,jit_raff_rinv,train,Gussbeton/Pickelloch belueftet
100075800.png,blur_raff_rshrp,train,Gussbeton/Pickelloch belueftet
100046600.png,blur_fliph_rcrop,train,Gussbeton/Pickelloch belueftet
100046600.png,flipv_jit_orig,train,Gussbeton/Pickelloch belueftet
100046600.png,blur_orig_rinv,train,Gussbeton/Pickelloch belueftet
100046600.png,rcrop_rinv_rshrp,train,Gussbeton/Pickelloch belueftet
100046600.png,raff_rinv_rot,train,Gussbeton/Pickelloch belueftet
100145200.png,flipv_raff_rinv,train,Gussbeton/Pickelloch belueftet
100145200.png,fliph_raff_rot,train,Gussbeton/Pickelloch belueftet
100145200.png,fliph_rcont_rcrop,train,Gussbeton/Pickelloch belueftet
100145200.png,blur_jit_rcont,train,Gussbeton/Pickelloch belueftet
100145200.png,orig_raff_rcont,train,Gussbeton/Pickelloch belueftet
100182900.png,blur_flipv_pers,train,Gussbeton/Pickelloch belueftet
100182900.png,orig_rcont_rinv,train,Gussbeton/Pickelloch belueftet
100182900.png,raff_rcrop_rshrp,train,Gussbeton/Pickelloch belueftet
100182900.png,orig_rcont_rshrp,train,Gussbeton/Pickelloch belueftet
100182900.png,jit_raff_rcrop,train,Gussbeton/Pickelloch belueftet
100193900.png,blur_jit_rinv,train,Gussbeton/Pickelloch belueftet
100193900.png,pers_raff_rshrp,train,Gussbeton/Pickelloch belueftet
100193900.png,fliph_flipv_rinv,train,Gussbeton/Pickelloch belueftet
100193900.png,fliph_jit_raff,train,Gussbeton/Pickelloch belueftet
100193900.png,fliph_orig_rcrop,train,Gussbeton/Pickelloch belueftet
100043000.png,pers_rinv_rshrp,train,Gussbeton/Pickelloch belueftet
100043000.png,orig_raff_rcrop,train,Gussbeton/Pickelloch belueftet
100043000.png,blur_flipv_rot,train,Gussbeton/Pickelloch belueftet
100043000.png,pers_raff_rinv,train,Gussbeton/Pickelloch belueftet
100043000.png,raff_rcont_rinv,train,Gussbeton/Pickelloch belueftet
100125800.png,flipv_rcrop_rshrp,train,Gussbeton/Pickelloch belueftet
100125800.png,jit_pers_rcont,train,Gussbeton/Pickelloch belueftet
100125800.png,orig_rinv_rot,train,Gussbeton/Pickelloch belueftet
100125800.png,jit_orig_rot,train,Gussbeton/Pickelloch belueftet
100125800.png,flipv_rcont_rot,train,Gussbeton/Pickelloch belueftet
100120400.png,blur_fliph_rot,train,Gussbeton/Pickelloch belueftet
100120400.png,jit_raff_rot,train,Gussbeton/Pickelloch belueftet
100120400.png,flipv_orig_raff,train,Gussbeton/Pickelloch belueftet
100120400.png,flipv_orig_rshrp,train,Gussbeton/Pickelloch belueftet
100120400.png,blur_pers_rot,train,Gussbeton/Pickelloch belueftet
100041600.png,orig_raff_rot,train,Gussbeton/Pickelloch belueftet
100041600.png,blur_fliph_jit,train,Gussbeton/Pickelloch belueftet
100041600.png,blur_flipv_rot,train,Gussbeton/Pickelloch belueftet
100041600.png,fliph_flipv_jit,train,Gussbeton/Pickelloch belueftet
100041600.png,jit_raff_rshrp,train,Gussbeton/Pickelloch belueftet
100034200.png,flipv_raff_rshrp,train,Gussbeton/Pickelloch belueftet
100034200.png,pers_raff_rshrp,train,Gussbeton/Pickelloch belueftet
100034200.png,pers_raff_rcrop,train,Gussbeton/Pickelloch belueftet
100034200.png,rcont_rcrop_rot,train,Gussbeton/Pickelloch belueftet
100213400.png,blur_raff_rcont,train,Gussbeton/Pickelloch belueftet
100213400.png,orig_pers_raff,train,Gussbeton/Pickelloch belueftet
100213400.png,blur_orig_raff,train,Gussbeton/Pickelloch belueftet
100213400.png,blur_rot_rshrp,train,Gussbeton/Pickelloch belueftet
100213400.png,flipv_jit_pers,train,Gussbeton/Pickelloch belueftet
100060500.png,blur_fliph_raff,train,Gussbeton/Pickelloch belueftet
100060500.png,jit_rcont_rinv,train,Gussbeton/Pickelloch belueftet
100060500.png,blur_fliph_jit,train,Gussbeton/Pickelloch belueftet
100060500.png,blur_rinv_rot,train,Gussbeton/Pickelloch belueftet
100060500.png,fliph_flipv_raff,train,Gussbeton/Pickelloch belueftet
100176700.png,fliph_raff_rcont,train,Gussbeton/Pickelloch belueftet
100176700.png,fliph_flipv_rcrop,train,Gussbeton/Pickelloch belueftet
100176700.png,rcrop_rinv_rot,train,Gussbeton/Pickelloch belueftet
100176700.png,fliph_flipv_raff,train,Gussbeton/Pickelloch belueftet
100176700.png,jit_rcrop_rot,train,Gussbeton/Pickelloch belueftet
100212400.png,fliph_jit_pers,train,Gussbeton/Pickelloch belueftet
100212400.png,flipv_pers_rshrp,train,Gussbeton/Pickelloch belueftet
100212400.png,fliph_pers_rinv,train,Gussbeton/Pickelloch belueftet
100212400.png,fliph_rcont_rot,train,Gussbeton/Pickelloch belueftet
100212400.png,jit_raff_rot,train,Gussbeton/Pickelloch belueftet
100034800.png,fliph_rot_rshrp,train,Gussbeton/Pickelloch belueftet
100034800.png,raff_rinv_rot,train,Gussbeton/Pickelloch belueftet
100034800.png,blur_jit_rshrp,train,Gussbeton/Pickelloch belueftet
100034800.png,blur_jit_rot,train,Gussbeton/Pickelloch belueftet
100034800.png,orig_rot_rshrp,train,Gussbeton/Pickelloch belueftet
100218000.png,blur_rot_rshrp,train,Gussbeton/Pickelloch belueftet
100218000.png,pers_rcrop_rinv,train,Gussbeton/Pickelloch belueftet
100218000.png,jit_rinv_rshrp,train,Gussbeton/Pickelloch belueftet
100218000.png,fliph_rcrop_rshrp,train,Gussbeton/Pickelloch belueftet
100218000.png,fliph_pers_rshrp,train,Gussbeton/Pickelloch belueftet
100056800.png,orig_pers_raff,train,Gussbeton/Pickelloch belueftet
100056800.png,blur_rinv_rshrp,train,Gussbeton/Pickelloch belueftet
100056800.png,fliph_raff_rshrp,train,Gussbeton/Pickelloch belueftet
100056800.png,blur_orig_rshrp,train,Gussbeton/Pickelloch belueftet
100056800.png,orig_rcrop_rinv,train,Gussbeton/Pickelloch belueftet
100126600.png,fliph_rinv_rshrp,train,Vollguss/Pickelloch geschlossen
100126600.png,fliph_jit_rot,train,Vollguss/Pickelloch geschlossen
100126300.png,blur_rot_rshrp,train,Vollguss/Pickelloch geschlossen
100126300.png,blur_orig_rshrp,train,Vollguss/Pickelloch geschlossen
100125100.png,pers_raff_rshrp,train,Vollguss/Pickelloch geschlossen
100125100.png,flipv_rcrop_rot,train,Vollguss/Pickelloch geschlossen
100116900.png,orig_rinv_rot,train,Vollguss/Pickelloch geschlossen
100116900.png,blur_pers_raff,train,Vollguss/Pickelloch geschlossen
100156100.png,flipv_jit_rcont,train,Vollguss/Pickelloch geschlossen
100156100.png,raff_rinv_rot,train,Vollguss/Pickelloch geschlossen
100076500.png,blur_raff_rot,train,Vollguss/Pickelloch geschlossen
100076500.png,jit_raff_rshrp,train,Vollguss/Pickelloch geschlossen
100158400.png,rcont_rcrop_rshrp,train,Vollguss/Pickelloch geschlossen
100184400.png,pers_rcrop_rshrp,train,Vollguss/Pickelloch geschlossen
100184400.png,orig_rinv_rot,train,Vollguss/Pickelloch geschlossen
100077700.png,flipv_raff_rcont,train,Vollguss/Pickelloch geschlossen
100077700.png,blur_jit_rshrp,train,Vollguss/Pickelloch geschlossen
100020700.png,raff_rcont_rot,train,Vollguss/Pickelloch geschlossen
100020700.png,blur_fliph_pers,train,Vollguss/Pickelloch geschlossen
100194500.png,fliph_orig_rcrop,train,Vollguss/Pickelloch geschlossen
100194500.png,jit_raff_rshrp,train,Vollguss/Pickelloch geschlossen
100119000.png,fliph_flipv_rcont,train,Vollguss/Pickelloch geschlossen
100119000.png,flipv_orig_rinv,train,Vollguss/Pickelloch geschlossen
100214300.png,pers_rinv_rshrp,train,Vollguss/Pickelloch geschlossen
100214300.png,pers_rinv_rot,train,Vollguss/Pickelloch geschlossen
100010300.png,fliph_jit_rcont,train,Vollguss/Pickelloch geschlossen
100010300.png,pers_rinv_rot,train,Vollguss/Pickelloch geschlossen
100084000.png,blur_flipv_raff,train,Vollguss/Pickelloch geschlossen
100084000.png,pers_rcont_rshrp,train,Vollguss/Pickelloch geschlossen
100086700.png,flipv_rcont_rot,train,Vollguss/Pickelloch geschlossen
100086700.png,fliph_rinv_rot,train,Vollguss/Pickelloch geschlossen
100062400.png,blur_flipv_rshrp,train,Vollguss/Pickelloch geschlossen
100062400.png,rcrop_rot_rshrp,train,Vollguss/Pickelloch geschlossen
100013600.png,fliph_orig_pers,train,Vollguss/Pickelloch geschlossen
100013600.png,fliph_rinv_rshrp,train,Vollguss/Pickelloch geschlossen
100120200.png,fliph_pers_rot,train,Vollguss/Pickelloch geschlossen
100120200.png,flipv_raff_rot,train,Vollguss/Pickelloch geschlossen
100104200.png,orig_raff_rinv,train,Vollguss/Pickelloch geschlossen
100104200.png,blur_rcont_rcrop,train,Vollguss/Pickelloch geschlossen
100170100.png,fliph_flipv_rshrp,train,Vollguss/Pickelloch geschlossen
100170100.png,flipv_jit_pers,train,Vollguss/Pickelloch geschlossen
100175900.png,orig_rcrop_rshrp,train,Vollguss/Pickelloch geschlossen
100175900.png,flipv_jit_orig,train,Vollguss/Pickelloch geschlossen
100148500.png,pers_rcrop_rinv,train,Vollguss/Pickelloch geschlossen
100148500.png,flipv_orig_rcrop,train,Vollguss/Pickelloch geschlossen
100118700.png,pers_raff_rcont,train,Vollguss/Pickelloch geschlossen
100118700.png,jit_rcrop_rot,train,Vollguss/Pickelloch geschlossen
100021600.png,blur_jit_rshrp,train,Vollguss/Pickelloch geschlossen
100021600.png,blur_fliph_jit,train,Vollguss/Pickelloch geschlossen
100160600.png,orig_rcont_rshrp,train,Vollguss/Pickelloch geschlossen
100160600.png,blur_pers_rot,train,Vollguss/Pickelloch geschlossen
100068700.png,blur_rcont_rinv,train,Vollguss/Pickelloch geschlossen
100068700.png,raff_rcrop_rshrp,train,Vollguss/Pickelloch geschlossen
100032400.png,fliph_rinv_rot,train,Vollguss/Pickelloch geschlossen
100032400.png,flipv_jit_rcrop,train,Vollguss/Pickelloch geschlossen
100162300.png,flipv_rcrop_rshrp,train,Vollguss/Pickelloch geschlossen
100162300.png,blur_flipv_jit,train,Vollguss/Pickelloch geschlossen
100196200.png,flipv_jit_raff,train,Vollguss/Pickelloch geschlossen
100196200.png,blur_fliph_flipv,train,Vollguss/Pickelloch geschlossen
100002600.png,flipv_rcont_rcrop,train,Vollguss/Pickelloch geschlossen
100002600.png,raff_rcont_rshrp,train,Vollguss/Pickelloch geschlossen
100132800.png,blur_rot_rshrp,train,Vollguss/Pickelloch geschlossen
100132800.png,blur_rcrop_rinv,train,Vollguss/Pickelloch geschlossen
100118600.png,orig_pers_rcont,train,Vollguss/Pickelloch geschlossen
100118600.png,blur_pers_rshrp,train,Vollguss/Pickelloch geschlossen
100037200.png,flipv_raff_rshrp,train,Vollguss/Pickelloch geschlossen
100037200.png,flipv_jit_raff,train,Vollguss/Pickelloch geschlossen
100151700.png,raff_rcont_rot,train,Vollguss/Pickelloch geschlossen
100151700.png,fliph_flipv_pers,train,Vollguss/Pickelloch geschlossen
100155300.png,rcrop_rinv_rshrp,train,Vollguss/Pickelloch geschlossen
100155300.png,blur_orig_pers,train,Vollguss/Pickelloch geschlossen
100033500.png,blur_pers_rcont,train,Vollguss/Pickelloch geschlossen
100033500.png,rcont_rcrop_rinv,train,Vollguss/Pickelloch geschlossen
100120500.png,orig_raff_rot,train,Vollguss/Pickelloch geschlossen
100120500.png,orig_rcont_rshrp,train,Vollguss/Pickelloch geschlossen
100044400.png,fliph_rcont_rinv,train,Vollguss/Pickelloch geschlossen
100044400.png,blur_orig_pers,train,Vollguss/Pickelloch geschlossen
100131500.png,orig_rcrop_rinv,train,Vollguss/Pickelloch geschlossen
100131500.png,fliph_rot_rshrp,train,Vollguss/Pickelloch geschlossen
100059400.png,pers_raff_rshrp,train,Vollguss/Pickelloch geschlossen
100059400.png,fliph_jit_rot,train,Vollguss/Pickelloch geschlossen
100036500.png,fliph_jit_rcont,train,Vollguss/Pickelloch geschlossen
100036500.png,orig_rcont_rot,train,Vollguss/Pickelloch geschlossen
100066100.png,fliph_flipv_pers,train,Vollguss/Pickelloch geschlossen
100066100.png,blur_jit_rcont,train,Vollguss/Pickelloch geschlossen
100173500.png,blur_raff_rinv,train,Vollguss/Pickelloch geschlossen
100173500.png,blur_orig_rinv,train,Vollguss/Pickelloch geschlossen
100052800.png,orig_rinv_rot,train,Vollguss/Pickelloch geschlossen
100052800.png,orig_pers_rot,train,Vollguss/Pickelloch geschlossen
100062900.png,orig_raff_rot,train,Vollguss/Pickelloch geschlossen
100062900.png,flipv_jit_orig,train,Vollguss/Pickelloch geschlossen
100148900.png,blur_orig_pers,train,Vollguss/Pickelloch geschlossen
100148900.png,blur_orig_raff,train,Vollguss/Pickelloch geschlossen
100080600.png,orig_rcont_rshrp,train,Vollguss/Pickelloch geschlossen
100080600.png,blur_rinv_rshrp,train,Vollguss/Pickelloch geschlossen
100078500.png,blur_fliph_pers,train,Vollguss/Pickelloch geschlossen
100078500.png,blur_fliph_rinv,train,Vollguss/Pickelloch geschlossen
100131100.png,rcrop_rinv_rot,train,Vollguss/Pickelloch geschlossen
100131100.png,flipv_jit_rinv,train,Vollguss/Pickelloch geschlossen
100113400.png,flipv_rcont_rshrp,train,Vollguss/Pickelloch geschlossen
100113400.png,blur_pers_raff,train,Vollguss/Pickelloch geschlossen
100183700.png,fliph_rcrop_rot,train,Vollguss/Pickelloch geschlossen
100183700.png,orig_pers_rcrop,train,Vollguss/Pickelloch geschlossen
100105200.png,pers_rcrop_rshrp,train,Vollguss/Pickelloch geschlossen
100105200.png,pers_raff_rcrop,train,Vollguss/Pickelloch geschlossen
100125900.png,blur_jit_rshrp,train,Vollguss/Pickelloch geschlossen
100125900.png,flipv_raff_rcrop,train,Vollguss/Pickelloch geschlossen
100066600.png,fliph_orig_rcrop,train,Vollguss/Pickelloch geschlossen
100066600.png,pers_raff_rshrp,train,Vollguss/Pickelloch geschlossen
100216200.png,flipv_rcrop_rshrp,train,Vollguss/Pickelloch geschlossen
100216200.png,fliph_jit_raff,train,Vollguss/Pickelloch geschlossen
100168700.png,raff_rinv_rot,train,Vollguss/Pickelloch geschlossen
100168700.png,orig_rinv_rshrp,train,Vollguss/Pickelloch geschlossen
100086200.png,jit_pers_rcrop,train,Vollguss/Pickelloch geschlossen
100086200.png,fliph_rcont_rshrp,train,Vollguss/Pickelloch geschlossen
100156400.png,blur_pers_raff,train,Vollguss/Pickelloch geschlossen
100156400.png,blur_raff_rinv,train,Vollguss/Pickelloch geschlossen
100063400.png,fliph_jit_rcont,train,Vollguss/Pickelloch geschlossen
100063400.png,pers_rcont_rinv,train,Vollguss/Pickelloch geschlossen
100191400.png,fliph_rcont_rcrop,train,Vollguss/Pickelloch geschlossen
100191400.png,blur_pers_rcont,train,Vollguss/Pickelloch geschlossen
100024300.png,jit_orig_pers,train,Vollguss/Pickelloch geschlossen
100024300.png,orig_pers_rcont,train,Vollguss/Pickelloch geschlossen
100146600.png,raff_rcont_rshrp,train,Vollguss/Pickelloch geschlossen
100146600.png,rcont_rcrop_rot,train,Vollguss/Pickelloch geschlossen
100071600.png,blur_pers_rshrp,train,Vollguss/Pickelloch geschlossen
100071600.png,fliph_jit_pers,train,Vollguss/Pickelloch geschlossen
100173900.png,raff_rcrop_rinv,train,Vollguss/Pickelloch geschlossen
100173900.png,blur_flipv_rinv,train,Vollguss/Pickelloch geschlossen
100087800.png,fliph_flipv_rinv,train,Vollguss/Pickelloch geschlossen
100087800.png,fliph_raff_rcrop,train,Vollguss/Pickelloch geschlossen
100040400.png,blur_fliph_orig,train,Vollguss/Pickelloch geschlossen
100040400.png,orig_pers_rshrp,train,Vollguss/Pickelloch geschlossen
100217300.png,blur_jit_pers,train,Vollguss/Pickelloch geschlossen
100217300.png,flipv_jit_raff,train,Vollguss/Pickelloch geschlossen
100005000.png,pers_rcrop_rinv,train,Vollguss/Pickelloch geschlossen
100005000.png,flipv_jit_rshrp,train,Vollguss/Pickelloch geschlossen
100210100.png,jit_pers_raff,train,Vollguss/Pickelloch geschlossen
100210100.png,flipv_jit_rcrop,train,Vollguss/Pickelloch geschlossen
100184000.png,orig_rcont_rinv,train,Vollguss/Pickelloch geschlossen
100184000.png,blur_rcrop_rinv,train,Vollguss/Pickelloch geschlossen
100162500.png,jit_rcont_rot,train,Vollguss/Pickelloch geschlossen
100162500.png,raff_rcont_rcrop,train,Vollguss/Pickelloch geschlossen
100074800.png,fliph_raff_rot,train,Vollguss/Pickelloch geschlossen
100074800.png,pers_rot_rshrp,train,Vollguss/Pickelloch geschlossen
100147300.png,jit_rcont_rinv,train,Vollguss/Pickelloch geschlossen
100147300.png,orig_rcrop_rot,train,Vollguss/Pickelloch geschlossen
100090900.png,flipv_jit_rshrp,train,Vollguss/Pickelloch geschlossen
100090900.png,jit_raff_rcrop,train,Vollguss/Pickelloch geschlossen
100005100.png,orig_rcont_rinv,train,Vollguss/Pickelloch geschlossen
100005100.png,fliph_flipv_raff,train,Vollguss/Pickelloch geschlossen
100206800.png,blur_flipv_orig,train,Vollguss/Pickelloch geschlossen
100206800.png,fliph_orig_rcrop,train,Vollguss/Pickelloch geschlossen
100192500.png,blur_rinv_rshrp,train,Vollguss/Pickelloch geschlossen
100192500.png,blur_rcont_rcrop,train,Vollguss/Pickelloch geschlossen
100077000.png,flipv_jit_orig,train,Vollguss/Pickelloch geschlossen
100077000.png,blur_fliph_jit,train,Vollguss/Pickelloch geschlossen
100174500.png,jit_rcont_rshrp,train,Vollguss/Pickelloch geschlossen
100174500.png,pers_rcrop_rinv,train,Vollguss/Pickelloch geschlossen
100181400.png,fliph_pers_rcont,train,Vollguss/Pickelloch geschlossen
100181400.png,orig_raff_rcont,train,Vollguss/Pickelloch geschlossen
100159400.png,flipv_raff_rcrop,train,Vollguss/Pickelloch geschlossen
100159400.png,jit_raff_rcont,train,Vollguss/Pickelloch geschlossen
100124100.png,fliph_orig_rcrop,train,Vollguss/Pickelloch geschlossen
100124100.png,flipv_rcont_rinv,train,Vollguss/Pickelloch geschlossen
100011300.png,fliph_rcont_rshrp,train,Vollguss/Pickelloch geschlossen
100011300.png,orig_rcont_rcrop,train,Vollguss/Pickelloch geschlossen
100048800.png,orig_rcrop_rot,train,Vollguss/Pickelloch geschlossen
100048800.png,blur_jit_rcrop,train,Vollguss/Pickelloch geschlossen
100107200.png,fliph_rcont_rshrp,train,Vollguss/Pickelloch geschlossen
100107200.png,jit_orig_rinv,train,Vollguss/Pickelloch geschlossen
100013400.png,blur_pers_rshrp,train,Vollguss/Pickelloch geschlossen
100013400.png,orig_pers_rinv,train,Vollguss/Pickelloch geschlossen
100156600.png,blur_jit_orig,train,Vollguss/Pickelloch geschlossen
100156600.png,jit_orig_rshrp,train,Vollguss/Pickelloch geschlossen
100136000.png,blur_fliph_rcont,train,Vollguss/Pickelloch geschlossen
100136000.png,blur_pers_rinv,train,Vollguss/Pickelloch geschlossen
100199300.png,orig_raff_rcont,train,Vollguss/Pickelloch geschlossen
100199300.png,fliph_flipv_rshrp,train,Vollguss/Pickelloch geschlossen
100078900.png,orig_rcont_rshrp,train,Vollguss/Pickelloch geschlossen
100078900.png,orig_pers_rot,train,Vollguss/Pickelloch geschlossen
100180900.png,blur_rcrop_rshrp,train,Vollguss/Pickelloch geschlossen
100180900.png,blur_rinv_rot,train,Vollguss/Pickelloch geschlossen
100079500.png,fliph_rinv_rot,train,Vollguss/Pickelloch geschlossen
100079500.png,fliph_orig_rot,train,Vollguss/Pickelloch geschlossen
100082700.png,jit_orig_rcont,train,Vollguss/Pickelloch geschlossen
100082700.png,blur_pers_rshrp,train,Vollguss/Pickelloch geschlossen
100018400.png,fliph_flipv_pers,train,Vollguss/Pickelloch geschlossen
100018400.png,orig_rcrop_rshrp,train,Vollguss/Pickelloch geschlossen
100203300.png,blur_jit_rcrop,train,Vollguss/Pickelloch geschlossen
100203300.png,raff_rcont_rinv,train,Vollguss/Pickelloch geschlossen
100032200.png,fliph_pers_rot,train,Vollguss/Pickelloch geschlossen
100032200.png,blur_flipv_jit,train,Vollguss/Pickelloch geschlossen
100111400.png,rcont_rcrop_rot,train,Vollguss/Pickelloch geschlossen
100111400.png,blur_pers_raff,train,Vollguss/Pickelloch geschlossen
100097700.png,jit_rcrop_rshrp,train,Vollguss/Pickelloch geschlossen
100097700.png,blur_rot_rshrp,train,Vollguss/Pickelloch geschlossen
100058900.png,jit_raff_rshrp,train,Vollguss/Pickelloch geschlossen
100058900.png,flipv_orig_rot,train,Vollguss/Pickelloch geschlossen
100045800.png,fliph_flipv_jit,train,Vollguss/Pickelloch geschlossen
100045800.png,raff_rot_rshrp,train,Vollguss/Pickelloch geschlossen
100213700.png,pers_rcont_rot,train,Vollguss/Pickelloch geschlossen
100213700.png,pers_rinv_rot,train,Vollguss/Pickelloch geschlossen
100196100.png,flipv_rot_rshrp,train,Vollguss/Pickelloch geschlossen
100196100.png,jit_raff_rcrop,train,Vollguss/Pickelloch geschlossen
100000800.png,jit_rinv_rshrp,train,Vollguss/Pickelloch geschlossen
100000800.png,pers_raff_rot,train,Vollguss/Pickelloch geschlossen
100098200.png,jit_raff_rcrop,train,Vollguss/Pickelloch geschlossen
100098200.png,orig_rot_rshrp,train,Vollguss/Pickelloch geschlossen
100142600.png,jit_pers_rshrp,train,Vollguss/Pickelloch geschlossen
100142600.png,orig_pers_rcont,train,Vollguss/Pickelloch geschlossen
100187500.png,fliph_flipv_rshrp,train,Vollguss/Pickelloch geschlossen
100187500.png,blur_flipv_rcrop,train,Vollguss/Pickelloch geschlossen
100044700.png,orig_rcont_rinv,train,Vollguss/Pickelloch geschlossen
100044700.png,orig_rcrop_rot,train,Vollguss/Pickelloch geschlossen
100062200.png,rcont_rinv_rshrp,train,Vollguss/Pickelloch geschlossen
100062200.png,blur_orig_rshrp,train,Vollguss/Pickelloch geschlossen
